Time (UTC),Open,High,Low,Close,Volume 
2024.01.11 20:25:00,77.678,77.708,77.663,77.663,0.0173
2024.01.11 20:30:00,77.658,77.813,77.658,77.803,0.03331
2024.01.11 20:35:00,77.793,77.818,77.718,77.738,0.03513
2024.01.11 20:40:00,77.743,77.788,77.733,77.763,0.02068
2024.01.11 20:45:00,77.758,77.808,77.758,77.793,0.01602
2024.01.11 20:50:00,77.783,77.813,77.763,77.813,0.02644
2024.01.11 20:55:00,77.823,77.883,77.813,77.853,0.02598
2024.01.11 21:00:00,77.853,78.06,77.853,78.05,0.04503
2024.01.11 21:05:00,78.03,78.17,78.03,78.115,0.03345
2024.01.11 21:10:00,78.11,78.14,78.05,78.06,0.01921
2024.01.11 21:15:00,78.06,78.115,78.05,78.065,0.01999
2024.01.11 21:20:00,78.06,78.12,78.055,78.105,0.01321
2024.01.11 21:25:00,78.1,78.1,78.06,78.075,0.02314
2024.01.11 21:30:00,78.08,78.085,78.05,78.08,0.01705
2024.01.11 21:35:00,78.08,78.135,78.06,78.115,0.01334
2024.01.11 21:40:00,78.103,78.155,78.09,78.15,0.02603
2024.01.11 21:45:00,78.14,78.275,78.115,78.245,0.04129
2024.01.11 21:50:00,78.255,78.29,78.22,78.29,0.02048
2024.01.11 21:55:00,78.285,78.34,78.285,78.3,0.02187
2024.01.12 01:00:00,78.768,78.913,78.708,78.893,0.15243
2024.01.12 01:05:00,78.903,78.938,78.848,78.928,0.06362
2024.01.12 01:10:00,78.923,78.963,78.858,78.918,0.08342
2024.01.12 01:15:00,78.913,78.953,78.878,78.943,0.05797
2024.01.12 01:20:00,78.953,79.013,78.938,79.013,0.0482
2024.01.12 01:25:00,79.008,79.063,78.983,79.053,0.0429
2024.01.12 01:30:00,79.048,79.093,79.013,79.078,0.06277
2024.01.12 01:35:00,79.073,79.123,79.053,79.083,0.06167
2024.01.12 01:40:00,79.093,79.323,79.088,79.323,0.07301
2024.01.12 01:45:00,79.308,79.403,79.188,79.218,0.09072
2024.01.12 01:50:00,79.228,79.308,79.223,79.253,0.08348
2024.01.12 01:55:00,79.248,79.288,79.193,79.248,0.08239
2024.01.12 02:00:00,79.258,79.283,79.163,79.173,0.07287
2024.01.12 02:05:00,79.168,79.173,78.798,78.873,0.09207
2024.01.12 02:10:00,78.868,79.048,78.833,79.018,0.08032
2024.01.12 02:15:00,79.013,79.023,78.938,78.963,0.04144
2024.01.12 02:20:00,78.968,78.973,78.888,78.903,0.02552
2024.01.12 02:25:00,78.908,78.918,78.873,78.873,0.02123
2024.01.12 02:30:00,78.868,79.018,78.868,79.018,0.07011
2024.01.12 02:35:00,79.023,79.088,78.998,79.038,0.0472
2024.01.12 02:40:00,79.043,79.198,79.043,79.148,0.02906
2024.01.12 02:45:00,79.112,79.198,79.103,79.168,0.03999
2024.01.12 02:50:00,79.173,79.218,79.163,79.198,0.02125
2024.01.12 02:55:00,79.193,79.213,79.193,79.193,0.00993
2024.01.12 03:00:00,79.203,79.253,79.193,79.208,0.03234
2024.01.12 03:05:00,79.213,79.223,79.053,79.078,0.04368
2024.01.12 03:10:00,79.088,79.143,79.083,79.088,0.04567
2024.01.12 03:15:00,79.093,79.113,79.018,79.038,0.02897
2024.01.12 03:20:00,79.023,79.043,78.988,79.018,0.02392
2024.01.12 03:25:00,79.023,79.048,79.013,79.043,0.03331
2024.01.12 03:30:00,79.038,79.068,78.933,78.933,0.02654
2024.01.12 03:35:00,78.938,78.978,78.903,78.913,0.01408
2024.01.12 03:40:00,78.908,78.913,78.853,78.888,0.02502
2024.01.12 03:45:00,78.883,78.883,78.848,78.858,0.01415
2024.01.12 03:50:00,78.853,78.858,78.798,78.833,0.01178
2024.01.12 03:55:00,78.823,78.843,78.808,78.843,0.01166
